volunteer_zip_code,voter_zip_code,messaged,not_messaged,all
07090,02467,0,1,1
07090,02472,0,1,1
07090,02539,0,2,2
07090,02906,0,1,1
07090,05405,0,1,1
07090,06443,0,1,1
07090,06830,0,2,2
07090,06831,0,1,1
07090,06897,0,1,1
07090,07016,0,2,2
07090,07024,0,1,1
07090,07027,0,2,2
07090,07030,0,5,5
07090,07040,0,1,1
07090,07052,0,3,3
07090,07060,0,1,1
07090,07066,0,2,2
07090,07068,0,2,2
07090,07076,0,5,5
07090,07078,0,3,3
07090,07081,1,3,4
07090,07090,0,28,28
07090,07092,0,1,1
07090,07208,0,2,2
07090,07463,0,1,1
07090,07649,0,1,1
07090,07728,0,2,2
07090,07733,0,2,2
07090,07869,0,1,1
07090,07901,1,3,4
07090,07921,0,2,2
07090,07922,0,1,1
07090,07930,0,1,1
07090,07931,0,1,1
07090,07932,0,2,2
07090,07940,0,1,1
07090,07960,0,1,1
07090,07962,0,1,1
07090,08008,0,2,2
07090,08534,0,1,1
07090,08753,0,1,1
07090,08755,0,1,1
07090,08820,0,1,1
07090,08840,0,1,1
07090,10003,0,1,1
07090,10010,0,1,1
07090,10011,0,1,1
07090,10012,0,1,1
07090,10013,0,1,1
07090,10016,0,1,1
07090,10017,0,2,2
07090,10018,0,3,3
07090,10019,0,19,19
07090,10020,0,4,4
07090,10022,0,3,3
07090,10023,0,3,3
07090,10024,0,2,2
07090,10025,0,1,1
07090,10036,0,5,5
07090,10118,0,1,1
07090,10166,0,2,2
07090,10172,0,1,1
07090,10281,0,11,11
07090,10562,0,1,1
07090,10580,0,2,2
07090,10583,0,1,1
07090,10591,0,1,1
07090,11104,0,1,1
07090,11233,0,1,1
07090,11236,0,1,1
07090,11249,0,1,1
07090,11429,0,2,2
07090,11565,0,1,1
07090,11743,0,1,1
07090,12528,0,1,1
07090,15217,0,2,2
07090,18036,0,2,2
07090,18974,0,1,1
07090,19946,0,1,1
07090,20001,0,2,2
07090,20003,0,1,1
07090,20225,0,1,1
07090,20817,0,6,6
07090,20854,0,1,1
07090,21042,0,2,2
07090,21230,0,1,1
07090,21403,0,1,1
07090,24070,0,1,1
07090,28173,0,2,2
07090,28203,0,1,1
07090,30341,0,1,1
07090,32169,0,1,1
07090,32809,0,1,1
07090,33146,0,1,1
07090,33321,0,1,1
07090,33431,0,1,1
07090,33433,0,1,1
07090,33449,0,1,1
07090,33473,0,1,1
07090,33480,0,1,1
07090,33483,0,1,1
