ZCTA5CE10,longt,lat
4216,-70.82,44.71
4217,-70.83,44.37
4219,-70.59,44.41
4220,-70.35,44.34
4221,-70.30,44.46
4222,-70.13,43.96
4224,-70.40,44.58
4226,-70.70,44.61
4227,-70.30,44.56
4228,-70.12,44.43
4231,-70.89,44.26
4234,-70.19,44.62
4236,-70.14,44.19
4237,-70.73,44.50
4238,-70.38,44.21
4239,-70.21,44.53
4240,-70.17,44.09
4250,-70.12,44.03
4252,-70.06,44.03
4253,-70.22,44.41
4254,-70.14,44.43
4255,-70.67,44.34
4256,-70.41,44.10
4257,-70.51,44.57
4258,-70.34,44.15
4259,-70.01,44.23
4260,-70.30,43.96
4261,-70.92,44.56
4263,-70.13,44.29
4265,-70.05,44.28
4267,-70.79,44.21
4268,-70.61,44.23
4270,-70.52,44.11
4271,-70.50,44.26
4274,-70.39,44.05
4275,-70.64,44.69
4276,-70.62,44.53
4280,-70.06,44.12
4281,-70.49,44.24
4282,-70.24,44.27
4284,-70.07,44.35
4285,-70.45,44.70
4286,-70.87,44.40
4287,-69.97,44.06
4289,-70.53,44.32
4290,-70.45,44.47
4292,-70.45,44.37
4294,-70.27,44.63
4330,-69.74,44.36
4342,-69.74,44.08
4343,-69.89,44.33
4344,-69.82,44.26
4345,-69.78,44.20
4346,-69.75,44.23
4347,-69.81,44.29
4348,-69.50,44.22
4349,-70.07,44.44
4350,-69.94,44.16
4351,-69.86,44.33
4352,-69.96,44.47
4353,-69.61,44.21
4354,-69.43,44.40
4355,-69.95,44.38
4357,-69.83,44.12
4358,-69.53,44.42
4359,-69.76,44.18
4360,-70.00,44.55
4363,-69.58,44.31
4364,-69.96,44.31
4401,-68.84,44.85
4406,-69.57,45.23
4408,-68.23,44.99
4410,-68.91,45.09
4411,-68.58,44.88
4412,-68.74,44.78
4413,-67.74,45.55
4414,-69.11,45.44
4415,-69.06,45.38
4416,-68.75,44.63
4417,-68.38,45.23
4418,-68.47,45.09
4419,-69.03,44.80
4421,-68.81,44.41
4422,-69.03,45.07
4424,-67.87,45.67
4426,-69.18,45.22
4427,-69.01,44.98
4428,-68.56,44.81
4429,-68.62,44.72
4430,-68.59,45.64
4431,-68.67,44.56
4434,-69.13,44.79
4435,-69.14,44.96
4438,-68.92,44.60
4441,-69.48,45.90
4442,-69.69,45.48
4443,-69.40,45.22
4444,-68.95,44.73
4448,-68.71,45.32
4449,-68.88,45.00
4450,-68.93,44.92
4451,-68.21,45.61
4453,-68.79,45.17
4454,-67.56,45.56
4455,-68.27,45.32
4456,-69.00,44.89
4457,-68.48,45.42
4459,-68.34,45.59
4460,-68.55,45.69
4461,-68.57,44.96
4462,-68.98,45.94
4463,-68.91,45.28
4464,-69.40,45.42
4468,-68.73,45.02
4469,-68.67,44.90
4471,-67.85,45.89
4472,-68.68,44.57
4473,-68.72,44.89
4474,-68.78,44.71
4475,-68.59,45.18
4476,-68.71,44.48
4478,-69.88,45.86
4479,-69.31,45.13
4481,-69.10,45.25
4485,-69.62,45.36
4487,-68.10,45.39
4488,-69.11,44.88
4489,-68.69,44.91
4490,-67.86,45.43
4491,-67.47,45.57
4492,-67.68,45.35
4493,-68.53,45.24
4495,-68.33,45.45
4496,-68.91,44.66
4497,-68.05,45.76
4530,-69.83,43.89
4535,-69.63,44.09
4537,-69.62,43.88
4538,-69.63,43.85
4539,-69.51,43.96
4541,-69.48,43.90
4543,-69.49,44.03
4544,-69.59,43.84
